list_cbsd_cata_azi_1,list_cbsd_cata_azi_2,list_cbsd_cata_azi_3,list_cbsd_cata_azi_4,list_cbsd_cata_azi_5,list_cbsd_cata_azi_6,list_cbsd_cata_azi_7,list_cbsd_cata_azi_8,list_cbsd_cata_azi_9
36.8750283906803,-76.3140380815389,3,2,26,NaN,NaN,NaN,22065
36.8659042630544,-76.3012925102873,3,2,26,NaN,NaN,NaN,22065
36.8686142494568,-76.3038818416486,3,2,26,NaN,NaN,NaN,22065
36.8649341566782,-76.3106751799007,3,2,26,NaN,NaN,NaN,22065
36.8644372030142,-76.3010957830293,3,2,26,NaN,NaN,NaN,22065
36.8696419196734,-76.3018747932655,3,2,26,NaN,NaN,NaN,22065
36.8588981166989,-76.311481018944,9,2,26,NaN,NaN,NaN,22065
36.8743708009795,-76.3171923153708,3,2,26,NaN,NaN,NaN,22065
36.8594323936073,-76.3070905743329,3,2,26,NaN,NaN,NaN,22065
36.8615254576053,-76.3109516012648,9,2,26,NaN,NaN,NaN,22065
36.8650403399407,-76.3052721780441,8,2,26,NaN,NaN,NaN,22065
36.8740348571594,-76.3047314057026,3,2,26,NaN,NaN,NaN,22065
36.8752262608391,-76.3025278648792,3,2,26,NaN,NaN,NaN,22065
36.8665974991537,-76.3006332907487,10,2,26,NaN,NaN,NaN,22065
38.9930859856415,-76.9604411831316,11,3,26,NaN,NaN,NaN,15934
39.0063525901355,-76.9287418366039,3,3,26,NaN,NaN,NaN,15934
38.9793397410262,-76.9285675787894,3,3,26,NaN,NaN,NaN,15934
38.9800892418758,-76.9340544258725,3,3,26,NaN,NaN,NaN,15934
38.9897759855808,-76.9280295689824,3,3,26,NaN,NaN,NaN,15934
39.0024419426722,-76.9560676621573,3,3,26,NaN,NaN,NaN,15934
38.9892241026264,-76.9330970148185,3,3,26,NaN,NaN,NaN,15934
39.3673578319768,-74.6602918112758,3,1,26,NaN,NaN,NaN,15765
39.3436439909445,-74.5976580518759,3,1,26,NaN,NaN,NaN,15765
39.3715225687551,-74.626923681305,3,1,26,NaN,NaN,NaN,15765
39.4112737086868,-74.5726835182717,3,1,26,NaN,NaN,NaN,15765
39.3450150654575,-74.6204483711856,3,1,26,NaN,NaN,NaN,15765
39.3456750820358,-74.6500682186509,3,1,26,NaN,NaN,NaN,15765
39.3739531766834,-74.582280215728,3,1,26,NaN,NaN,NaN,15765
39.348555287581,-74.6027058714915,3,1,26,NaN,NaN,NaN,15765
39.4132992239994,-74.6508603479855,3,1,26,NaN,NaN,NaN,15765
39.3730651158193,-74.5734240594255,3,1,26,NaN,NaN,NaN,15765
39.4014335385674,-74.5930533299821,3,1,26,NaN,NaN,NaN,15765
39.3713354330655,-74.6540083561484,3,1,26,NaN,NaN,NaN,15765
39.3666425759836,-74.5998907302232,3,1,26,NaN,NaN,NaN,15765
39.3436343650189,-74.6186284555312,3,1,26,NaN,NaN,NaN,15765
39.3653784231426,-74.6571055609985,3,1,26,NaN,NaN,NaN,15765
39.3890648278352,-74.633281898818,3,1,26,NaN,NaN,NaN,15765
39.3756673719676,-74.6388421424836,3,1,26,NaN,NaN,NaN,15765
39.4126502028184,-74.5833611799698,3,1,26,NaN,NaN,NaN,15765
39.3640246221491,-74.6536333001263,3,1,26,NaN,NaN,NaN,15765
39.4188179560203,-74.5816536528582,3,1,26,NaN,NaN,NaN,15765
39.3550978393258,-74.6528474074244,3,1,26,NaN,NaN,NaN,15765
39.3829584462885,-74.6387562136631,3,1,26,NaN,NaN,NaN,15765
39.3597852384111,-74.5606785238568,3,1,26,NaN,NaN,NaN,15765
39.3524037933765,-74.642847658887,3,1,26,NaN,NaN,NaN,15765
39.3496711241469,-74.5993658447032,3,1,26,NaN,NaN,NaN,15765
39.3512349283828,-74.5899904441708,3,1,26,NaN,NaN,NaN,15765
39.3796302246253,-74.6156407638253,6,1,26,NaN,NaN,NaN,15765
39.383782110953,-74.6623606596253,3,1,26,NaN,NaN,NaN,15765
39.3673853906579,-74.5977892041709,3,1,26,NaN,NaN,NaN,15765
39.4015687126292,-74.6234149167727,3,1,26,NaN,NaN,NaN,15765
39.3449502225016,-74.5590947665313,3,1,26,NaN,NaN,NaN,15765
39.3686298887723,-74.5963345193872,3,1,26,NaN,NaN,NaN,15765
39.4124555897991,-74.6143012669789,3,1,26,NaN,NaN,NaN,15765
39.3881813387205,-74.5703453280311,3,1,26,NaN,NaN,NaN,15765
39.3477176934836,-74.6164334335034,3,1,26,NaN,NaN,NaN,15765
39.385116077891,-74.5681852320396,3,1,26,NaN,NaN,NaN,15765
39.3673692524187,-74.6040230839992,3,1,26,NaN,NaN,NaN,15765
39.3568542742386,-74.6257186382375,3,1,26,NaN,NaN,NaN,15765
39.3990167178261,-74.6094281757428,6,1,26,NaN,NaN,NaN,15765
39.3593603664581,-74.6323753110249,3,1,26,NaN,NaN,NaN,15765
39.3757233940816,-74.6274411636998,3,1,26,NaN,NaN,NaN,15765
39.4030016383661,-74.649330341992,6,1,26,NaN,NaN,NaN,15765
39.4097556183964,-74.6484129558851,3,1,26,NaN,NaN,NaN,15765
39.2494586461447,-75.6227050320757,3,1,26,NaN,NaN,NaN,12763
39.2244618539949,-75.6530123025358,3,1,26,NaN,NaN,NaN,12763
39.2865900062169,-75.6288718032586,3,1,26,NaN,NaN,NaN,12763
39.2870015900629,-75.6228845487407,3,1,26,NaN,NaN,NaN,12763
39.2920205957391,-75.5941118610931,3,1,26,NaN,NaN,NaN,12763
39.27605362197,-75.6323369953845,3,1,26,NaN,NaN,NaN,12763
39.2871456426439,-75.592351773344,3,1,26,NaN,NaN,NaN,12763
39.2943501120689,-75.6346512082813,3,1,26,NaN,NaN,NaN,12763
39.2587235450244,-75.6224156629501,3,1,26,NaN,NaN,NaN,12763
39.2670743718883,-75.5971862428413,3,1,26,NaN,NaN,NaN,12763
